location,lat,lon,presmax,presmin,N
hippo3-20100405-2352,-55.00,170.00,907.00,329.00,12.00
hippo3-20100405-2415,-56.55,170.00,950.00,329.00,13.00
hippo3-20100405-2436,-58.63,170.00,939.00,329.00,12.00
hippo3-20100405-2458,-60.32,170.00,936.00,329.00,13.00
hippo3-20100405-2519,-62.15,170.00,931.00,329.00,10.00
hippo3-20100405-2539,-63.46,170.00,931.00,329.00,12.00
hippo3-20100405-2558,-65.29,170.00,935.00,329.00,14.00
hippo3-20100408-2300,-36.64,179.17,985.00,197.00,17.00
hippo3-20100408-2332,-34.73,180.24,985.00,333.00,15.00
hippo3-20100408-2350,-32.89,181.21,954.00,330.00,14.00
hippo3-20100408-2413,-31.18,182.08,982.00,330.00,13.00
hippo3-20100408-2436,-29.10,183.09,980.00,330.00,10.00
hippo3-20100408-2456,-27.59,183.80,980.00,330.00,15.00
hippo3-20100408-2517,-25.68,184.66,959.00,330.00,10.00
hippo3-20100408-2537,-24.22,185.68,980.00,330.00,14.00
hippo3-20100408-2600,-22.44,187.28,979.00,330.00,13.00
hippo3-20100408-2623,-20.30,189.09,979.00,147.00,18.00
hippo3-20100410-2137,-8.98,191.30,917.00,197.00,15.00
hippo3-20100410-2212,-6.71,192.23,976.00,330.00,14.00
hippo3-20100410-2255,-2.95,193.58,975.00,330.00,15.00
hippo3-20100410-2313,-0.90,194.22,959.00,330.00,12.00
hippo3-20100410-2336,0.81,194.77,975.00,330.00,14.00
hippo3-20100410-2442,7.27,197.89,959.00,330.00,13.00
hippo3-20100410-2501,8.57,198.89,976.00,330.00,14.00
hippo3-20100410-2521,10.61,200.36,911.00,330.00,12.00
hippo3-20100410-2542,12.42,201.43,977.00,182.00,17.00
hippo3-20100410-2639,19.53,205.16,901.00,162.00,16.00
hippo3-20100413-2040,24.46,203.96,954.00,197.00,12.00
hippo3-20100413-2107,26.29,205.25,986.00,330.00,14.00
hippo3-20100413-2130,28.29,206.70,983.00,330.00,15.00
hippo3-20100413-2211,31.78,208.16,966.00,330.00,13.00
hippo3-20100413-2232,33.36,208.30,983.00,330.00,14.00
hippo3-20100413-2252,35.31,208.37,965.00,330.00,15.00
hippo3-20100413-2315,36.99,207.90,987.00,330.00,13.00
hippo3-20100413-2336,38.97,207.29,919.00,330.00,10.00
hippo3-20100413-2356,40.70,206.77,993.00,330.00,15.00
hippo3-20100413-2419,42.94,206.00,994.00,330.00,15.00
hippo3-20100413-2442,44.46,205.44,983.00,330.00,14.00
hippo3-20100413-2502,46.61,204.56,986.00,330.00,12.00
hippo3-20100413-2527,48.46,203.74,989.00,330.00,16.00
hippo3-20100413-2548,50.33,202.69,880.00,330.00,10.00
hippo3-20100413-2608,53.16,199.75,977.00,147.00,18.00
hippo3-20100413-2751,61.00,206.65,841.00,147.00,13.00
hippo3-20100415-1845,65.56,212.27,981.00,330.00,13.00
hippo3-20100415-1910,69.16,212.11,832.00,330.00,9.00
hippo3-20100415-1946,70.78,211.17,994.00,330.00,12.00
hippo3-20100415-2009,73.06,211.09,991.00,330.00,14.00
hippo3-20100415-2034,74.91,211.01,991.00,330.00,15.00
hippo3-20100415-2059,77.36,211.00,986.00,330.00,14.00
hippo3-20100415-2125,79.17,211.00,986.00,330.00,15.00
hippo3-20100415-2150,81.61,211.00,985.00,330.00,15.00
hippo3-20100415-2217,84.87,212.03,985.00,147.00,15.00
hippo4-20110614-1748,52.30,245.99,911.00,193.00,16.00
hippo4-20110614-1824,54.03,245.26,918.00,188.00,17.00
hippo4-20110614-1928,59.72,232.27,922.00,188.00,15.00
hippo4-20110614-2007,60.22,229.59,877.00,188.00,15.00
hippo4-20110614-2118,60.90,211.21,1013.00,188.00,18.00
hippo4-20110616-1930,70.46,204.77,995.00,188.00,17.00
hippo4-20110616-2108,74.28,201.02,994.00,384.00,10.00
