location,lat,lon,presmax,presmin,N
ATom-2-2017-02-03-1900,18.96,202.63,980.00,301.00,17.00
ATom-2-2017-02-03-1937,16.90,199.28,997.00,301.00,18.00
ATom-2-2017-02-03-2000,14.97,196.71,996.00,275.00,19.00
ATom-2-2017-02-03-2041,12.27,193.23,995.00,275.00,18.00
ATom-2-2017-02-03-2106,10.43,190.92,993.00,274.00,19.00
ATom-2-2017-02-03-2206,5.77,185.28,993.00,275.00,18.00
ATom-2-2017-02-03-2235,3.67,182.78,990.00,262.00,19.00
ATom-2-2017-02-03-2339,-0.45,178.54,988.00,263.00,19.00
ATom-2-2017-02-04-2403,-3.29,178.06,987.00,263.00,18.00
ATom-2-2017-02-04-2440,-7.24,177.54,990.00,263.00,19.00
ATom-2-2017-02-04-2504,-9.64,177.65,987.00,216.00,19.00
ATom-2-2017-02-04-2538,-10.00,180.86,990.00,217.00,20.00
ATom-2-2017-02-04-2604,-10.07,183.70,987.00,216.00,19.00
ATom-2-2017-02-04-2756,-17.09,177.38,978.00,227.00,13.00
ATom-2-2017-02-05-2033,-19.79,177.31,959.00,287.00,16.00
ATom-2-2017-02-05-2120,-24.54,177.99,999.00,287.00,18.00
ATom-2-2017-02-05-2144,-27.29,178.43,995.00,287.00,18.00
ATom-2-2017-02-05-2219,-30.86,179.03,1001.00,288.00,18.00
ATom-2-2017-02-05-2242,-33.60,179.52,1000.00,262.00,19.00
ATom-2-2017-02-05-2318,-37.15,180.22,1000.00,263.00,19.00
ATom-2-2017-02-05-2341,-39.64,180.57,998.00,262.00,19.00
ATom-2-2017-02-06-2433,-44.50,177.56,984.00,263.00,18.00
ATom-2-2017-02-06-2457,-46.69,175.77,982.00,238.00,18.00
ATom-2-2017-02-06-2535,-50.11,172.60,967.00,239.00,12.00
ATom-2-2017-02-06-2559,-51.98,170.47,970.00,238.00,16.00
ATom-2-2017-02-06-2629,-54.53,167.16,970.00,239.00,18.00
ATom-2-2017-02-06-2654,-54.94,165.48,968.00,197.00,19.00
ATom-2-2017-02-06-2842,-44.40,172.00,989.00,197.00,18.00
ATom-2-2017-02-10-1855,-43.95,173.85,958.00,314.00,16.00
ATom-2-2017-02-10-2037,-52.97,185.74,993.00,315.00,18.00
ATom-2-2017-02-10-2059,-55.05,189.34,992.00,261.00,19.00
ATom-2-2017-02-10-2311,-64.09,219.53,976.00,262.00,18.00
ATom-2-2017-02-10-2338,-64.81,226.48,975.00,239.00,18.00
ATom-2-2017-02-11-2501,-64.81,249.73,948.00,239.00,17.00
ATom-2-2017-02-11-2526,-64.18,255.84,946.00,216.00,18.00
ATom-2-2017-02-11-2559,-62.96,263.54,946.00,217.00,18.00
ATom-2-2017-02-11-2623,-61.81,268.72,944.00,197.00,18.00
ATom-2-2017-02-11-2658,-59.89,275.44,951.00,198.00,18.00
ATom-2-2017-02-11-2722,-58.28,279.83,949.00,188.00,18.00
ATom-2-2017-02-11-2818,-53.73,288.63,970.00,188.00,19.00
ATom-2-2017-02-13-1102,-52.47,292.09,924.00,287.00,15.00
ATom-2-2017-02-13-1227,-46.82,306.17,1005.00,288.00,18.00
ATom-2-2017-02-13-1250,-45.06,309.29,1004.00,262.00,19.00
ATom-2-2017-02-13-1514,-32.50,326.27,1006.00,263.00,19.00
ATom-2-2017-02-13-1536,-30.41,328.28,1005.00,238.00,19.00
ATom-2-2017-02-13-1720,-20.46,336.57,999.00,240.00,19.00
ATom-2-2017-02-13-1744,-18.33,338.16,998.00,216.00,20.00
ATom-2-2017-02-13-1917,-9.31,344.40,994.00,197.00,20.00
ATom-2-2017-02-15-0932,-3.60,341.82,996.00,302.00,18.00
ATom-2-2017-02-15-0953,-1.35,340.06,994.00,274.00,19.00
ATom-2-2017-02-15-1030,1.66,337.70,994.00,275.00,18.00
ATom-2-2017-02-15-1052,3.82,336.00,994.00,274.00,19.00
ATom-2-2017-02-15-1128,6.75,333.69,996.00,275.00,19.00
ATom-2-2017-02-15-1152,8.91,331.96,994.00,250.00,19.00
ATom-2-2017-02-15-1227,11.69,329.70,999.00,251.00,19.00
ATom-2-2017-02-15-1252,13.86,327.89,998.00,250.00,19.00
ATom-2-2017-02-15-1352,19.61,325.06,1002.00,250.00,19.00
ATom-2-2017-02-15-1418,22.24,326.07,1001.00,217.00,20.00
ATom-2-2017-02-15-1452,25.85,327.51,1004.00,217.00,20.00
ATom-2-2017-02-15-1516,28.47,328.63,1001.00,216.00,20.00
ATom-2-2017-02-15-1550,31.97,330.21,1002.00,217.00,20.00
